,기업명,PER,EPS,PER(krx),EPS(krx),추정PER,추정EPS,PBR,BPS,배당수익률,이자보상배율,유동비율
305090,마이크로디지탈,-49.85,-667,N/A,N/A,N/A,N/A,10.90,"3,050",N/A,N/A,510.9
003670,포스코케미칼,24.77,"2,237",24.77,"2,237",25.00,"2,261",4.37,"12,690",0.72,68.1,221.8
253840,수젠텍,-2.45,"-3,597",N/A,N/A,N/A,N/A,6.68,"1,318",N/A,N/A,338.9
307930,컴퍼니케이,27.06,436,26.70,442,N/A,N/A,5.84,"2,021",1.15,N/A,N/A
950180,SNK,19.21,"1,494",N/A,N/A,N/A,N/A,5.50,"5,215",N/A,53.1,971.3
125210,아모그린텍,-44.35,-301,N/A,N/A,N/A,N/A,106.80,125,N/A,N/A,141.8
307950,현대오토에버,24.98,"2,614",24.98,"2,614",N/A,N/A,3.02,"21,602",1.06,439.7,174.3
228760,지노믹트리,-165.51,-158,N/A,N/A,N/A,N/A,37.63,695,N/A,N/A,N/A
099750,이지케어텍,32.82,716,32.82,716,N/A,N/A,4.05,"5,797",0.62,N/A,359.9
313750,유안타제4호스팩,-9.37,-223,N/A,N/A,N/A,N/A,1.68,"1,246",N/A,N/A,N/A
100790,미래에셋벤처투자,8.60,728,8.59,729,N/A,N/A,1.37,"4,556",0.50,N/A,N/A
192650,드림텍,14.06,736,14.01,739,N/A,N/A,3.66,"2,827",7.73,6.2,151.9
192080,더블유게임즈,14.05,"4,869",12.96,"5,279",11.00,"6,078",2.22,"30,760",0.51,4.4,79.2
247540,에코프로비엠,28.06,"2,345",28.06,"2,345",27.00,"2,436",6.66,"9,880",N/A,9.3,189
316140,우리금융지주,N/A,N/A,N/A,N/A,5.00,"2,958",N/A,N/A,N/A,N/A,N/A
278280,천보,29.73,"2,829",28.43,"2,958",29.00,"2,905",6.25,"13,450",N/A,63.8,631.4
246960,이노테라피,-22.88,-625,N/A,N/A,N/A,N/A,6.69,"2,137",N/A,N/A,N/A
104620,노랑풍선,18.85,"1,122",17.61,"1,201",N/A,N/A,2.11,"10,042",1.75,6.9,89.7
053580,웹케시,61.64,954,59.15,994,N/A,N/A,15.17,"3,877",0.25,77.6,417.2
298690,에어부산,17.04,405,16.05,430,N/A,N/A,2.36,"2,925",1.45,1.7,71.9
238200,비피도,94.97,308,84.78,345,N/A,N/A,2.67,"10,936",0.20,10.8,N/A
310840,엔에이치스팩13호,-39.54,-54,N/A,N/A,N/A,N/A,1.13,"1,894",N/A,N/A,N/A
263050,유틸렉스,-45.40,"-2,022",N/A,N/A,N/A,N/A,8.60,"10,669",N/A,N/A,894.6
290550,디케이티,-40.58,-276,N/A,N/A,N/A,N/A,3.19,"3,516",N/A,21.5,164.7
310200,미래에셋대우스팩2호,-36.29,-66,N/A,N/A,N/A,N/A,1.26,"1,903",N/A,N/A,N/A
307180,신영스팩4호,-4.05,-535,N/A,N/A,N/A,N/A,1.10,"1,977",N/A,N/A,N/A
309930,삼성머스트스팩3호,-105.50,-20,N/A,N/A,N/A,N/A,1.17,"1,802",N/A,N/A,N/A
299900,위지윅스튜디오,26.01,771,25.97,772,N/A,N/A,4.00,"5,014",N/A,20,957
310870,한국제8호스팩,-73.00,-30,N/A,N/A,N/A,N/A,1.18,"1,857",N/A,N/A,N/A
307750,대신밸런스제6호스팩,-30.51,-69,N/A,N/A,N/A,N/A,1.10,"1,919",N/A,N/A,N/A
298380,에이비엘바이오,-9.02,"-3,797",N/A,N/A,N/A,N/A,9.73,"3,520",N/A,N/A,N/A
100590,머큐리,11.42,"1,112",11.42,"1,112",N/A,N/A,2.76,"4,600",N/A,46.9,565.7
110020,전진바이오팜,-18.32,-805,N/A,N/A,N/A,N/A,17.86,826,N/A,N/A,193.1
270870,뉴트리,59.97,311,59.58,313,N/A,N/A,3.44,"5,420",0.54,314.3,412.7
307870,골든브릿지이안5호,-345.83,-6,N/A,N/A,N/A,N/A,1.11,"1,861",N/A,N/A,N/A
302430,이노메트리,21.45,"1,492",21.36,"1,498",N/A,N/A,3.19,"10,023",0.62,165.2,530.4
307070,SK4호스팩,-65.16,-32,N/A,N/A,N/A,N/A,1.18,"1,767",N/A,N/A,N/A
290120,대유에이피,7.49,975,7.44,981,N/A,N/A,1.92,"3,796",2.74,12.4,98.9
307280,교보8호스팩,-35.85,-59,N/A,N/A,N/A,N/A,1.16,"1,821",N/A,N/A,N/A
