회사명,종목코드
GS글로벌,001250
HSD엔진,082740
KG케미칼,001390
LG이노텍,011070
OCI,010060
SK네트웍스,001740
SK이노베이션,096770
STX,011810
WISCOM,024070
갤럭시아에스엠,011420
경동도시가스,267290
경동인베스트,012320
고려아연,010130
고려제강,002240
극동유화,014530
까뮤이앤씨,013700
남양유업,003920
노루페인트,090350
대림씨엔에스,004440
대영포장,014160
대원제약,003220
대유에이텍,002880
대한해운,005880
동남합성,023450
동아쏘시오홀딩스,000640
동양,001520
롯데손해보험,000400
롯데쇼핑,023530
마니커,027740
모두투어리츠,204210
무림페이퍼,009200
부국증권,001270
삼성SDI,006400
삼성바이오로직스,207940
삼성출판사,068290
삼성카드,029780
삼성화재해상보험,000810
삼양홀딩스,000070
삼영전자공업,005680
삼영화학공업,003720
상상인증권,001290
선도전기,007610
선진,136490
세원셀론텍,091090
신송홀딩스,006880
신풍제약,019170
신한알파리츠,293940
신한지주,055550
에넥스,011090
영화금속,012280
우진,105840
원림,005820
윌비스,008600
유나이티드,033270
유니온머티리얼,047400
이리츠코크렙,088260
인지컨트롤스,023800
일동제약,249420
제이에스코퍼레이션,194370
제일약품,271980
제일연마,001560
제일파마홀딩스,002620
제주항공,089590
조일알미늄,018470
조흥,002600
종근당홀딩스,001630
지역난방공사,071320
진도,088790
코리아써키트,007810
코스맥스,192820
코오롱인더,120110
코오롱플라스틱,138490
키다리스튜디오,020120
태광산업,003240
태양금속공업,004100
포스코케미칼,003670
하나투어,039130
한국가스공사,036460
한국전자홀딩스,006200
한국제지,002300
한국종합기술,023350
한국주철관공업,000970
한국철강,104700
한국패러랠,168490
한라홀딩스,060980
한미약품,128940
한세실업,105630
한솔로지스틱스,009180
한일시멘트,300720
한일철강,002220
한일홀딩스,003300
한진,002320
한창제지,009460
한화갤러리아타임월드,027390
현대건설,000720
현대건설기계,267270
현대모비스,012330
현대비앤지스틸,004560
현대홈쇼핑,057050
호전실업,111110
호텔신라,008770
효성중공업,298040
CJ프레시웨이,051500
CSA 코스믹,083660
GH신소재,130500
GST,083450
KB오토시스,024120
KJ프리텍,083470
NHN한국사이버결제,060250
THE E&M,089230
TJ미디어,032540
YW,051390
갤럭시아컴즈,094480
교보8호스팩,307280
나스미디어,089600
네오티스,085910
네이처셀,007390
녹십자셀,031390
녹십자엠에스,142280
뉴인텍,012340
뉴프렉스,085670
대봉엘에스,078140
대유위니아,071460
대한광통신,010170
대한뉴팜,054670
대한약품,023910
덕산네오룩스,213420
덱스터,206560
디에이피,066900
디엔에프,092070
디오,039840
디지틀조선,033130
디케이앤디,263020
디케이티,290550
리더스코스메틱,016100
마크로젠,038290
매일홀딩스,005990
매직마이크로,127160
명성티엔에스,257370
모비스,250060
미래컴퍼니,049950
미래테크놀로지,213090
바디텍메드,206640
부스타,008470
비츠로시스,054220
삼보판지,023600
삼아제약,009300
상상인인더스트리,101000
성창오토텍,080470
